,block_mined,gas,gas_price,hashpower_accepting,round_gp_10gwei,time_mined,tx_cost
b'\x01jbH\xdd\x8e{\xb1\xd7\xda\xea\x8e\x1c\x1cCxh=\xb2\xb0\x18o\x9aE\xf7<\xd8L\x96^p\x9f',8934630.0,90000.0,21000000000.0,100.0,210.0,1573766197.0,18900000.0
"b""\x02VD[.\xe8\xbb4\xee\xa3\x0f\xef\\ms\xa3>\xa8\xc8\xe5',\xfc\xd0\x9f\xb2\x83%\x1b\xcd\xf3\xa6""",8934633.0,100000.0,2250000000.0,36.0,20.0,1573766280.0,2000000.0
b'\x02n$(IU\xad\xc1\xe6\xec\xe1v\xd5\xfa\xfa\x95\t\xe0\xd4\xf0\x9e{\x92q\xe63\xb3\xdc\xfbBc\xa7',8934630.0,21000.0,15000000000.0,100.0,150.0,1573766197.0,3150000.0
b'\x02\xb2\x85\xac\x1b)!mReRp5\xb8\x03\x9a\x14\xa3\xd0l\xb8\xcc:\x1e\xd0\xe5\x18\xa7(\x81\n\x96',8934634.0,290338.0,1000000000.0,36.0,10.0,1573766286.0,
"b'\x03\x03r\xe5L\xe1\xb5\xbe\x86N\xe2\x98\x8bR\xc0\xed\xd8""\xcdz\xde4\x87\xea\xe5+c\x9b\x86\x81\n\x02'",8934626.0,21000.0,45000000000.0,100.0,450.0,1573766161.0,9450000.0
b'\x03\t9\xad\xd9\xc2\xdd\xd6\xdf\xc2\xf3\x9a\x02\xf7\x8c\xe9\x9bH[-\x8d4\x1b\xaf\xfa\x90\x1brYLT\x95',8934633.0,150000.0,10000000000.0,100.0,100.0,1573766280.0,15000000.0
b'\x03\xdba\xa6\x93G6\xa3\xbf?\x1c\xe3\xa5\x10\x8en+\x88\xabS\xa0\xacRh\xb6I`\xff\xa7\xda\xf1X',8934630.0,223839.0,1000000000.0,36.0,10.0,1573766197.0,2238390.0
"b'\x05I\xf5gX\xd4\xf2\xa1GI*~\xebD\x13\xd1\x1eJ?\xfb\x84\xf5\x98+\xd6\xa9\xd7^V\xff\xd9,'",8934630.0,21000.0,3000000000.0,36.0,30.0,1573766197.0,630000.0
b'\x05\xeb\xb3.m\xec\x07ge\xa2\r\xf1\xf0\xb7\xd9\x07\xc0%\xee+\xc9\x02b\xd2W\xd3\x07\x89\xb1\xad\xac\x03',8934630.0,90000.0,26000000000.0,100.0,260.0,1573766197.0,23400000.0
b'\x06B\x18\xd7%\xdc\x921{\x9dM\x9cv\xe6\x85\xf6\xb21r\x7f\xbf5\xe9\xed\x0c[\x85\xe6\xd0Bb}',8934634.0,120000.0,1000000000.0,36.0,10.0,1573766286.0,
"b'\x06\xa48dW\x88&m\xdb\xc85W\xecG\xbb\x83,S\x90Z%\xd9\xda\x06\x06\xe5{\xe7x_\xf3\xed'",8934633.0,5000000.0,2000000000.0,36.0,20.0,1573766280.0,100000000.0
b'\nAXi.`\xea;\xdd\xef[W@\xdd\x8a\xa2\xa8s\xa4\xd0)w\xc9\x84\xb5\xfdN\xc7x\xacO\xf1',8934630.0,100000.0,2250000000.0,36.0,20.0,1573766197.0,2000000.0
"b""\n\x82*w\x83\xdc\xef\x15@\xce'\xed\x8fx\xa6\x13\x1a\xe3\x12\xc0\x123To\t\xa0(\x8aL\xdcX\x00""",8934630.0,300000.0,10000000000.0,100.0,100.0,1573766197.0,30000000.0
b'\x0bG.b/\xb2\x052\xffR\x96\xd39\x82\x1a\xe0\xd5s\xab\xbb\xb8\xe1\xb9\xbbsoy\xa5\x1c]\x8b\xa7',8934633.0,200000.0,2000000000.0,36.0,20.0,1573766280.0,4000000.0
b'\x0b\xb1\xe3\x81%\x870\xdf\xe2\xdaPi\xdf\xb2\xbc\xb2(\x80\xf5\xd9s\xf3\x9c\x7f\xfbU\xe9byb|\xc0',8934633.0,21000.0,20000000000.0,100.0,200.0,1573766280.0,4200000.0
b'\x0c\x0b\xd0\x0e#\xbdg}\x88\x12\x99\x91MVR\x8aMC\xbdQ\x1d\xbdU\x17\x0f\x82\x9c\xd7=\x16\xcc\xc5',8934630.0,64000.0,1500000000.0,36.0,10.0,1573766197.0,640000.0
b'\x0c\xa5$Q[6\xd6*/\xf3\xec:-\xad\xf672\x1d\xd1\x95\xd7\xf0!\x10\xef\xcd.RD\x00\xb9Y',8934630.0,550000.0,1000000000.0,36.0,10.0,1573766197.0,5500000.0
b'\x0c\xd35B\x90L\xc6\x0f]\xe1\x1d\xefl\xc3\x98\xee\x06\x8e\x10z\xb5\xba\x9eu\xfb\xba\xdd&\xd9v\xe0\xa9',8934630.0,60000.0,9000000000.0,64.00000000000001,90.0,1573766197.0,5400000.0
b'\rU\xd3U\x04y\xdd[dW\xb7\xec9Z\x02\n\xee/\x0859\x17\x1e\xda*\x16\xf6\x97\xb4sh$',8934633.0,60000.0,9000000000.0,64.00000000000001,90.0,1573766280.0,5400000.0
